,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message
0,"{'lon': 18.42, 'lat': -33.93}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 58.75, 'feels_like': 56.34, 'temp_min': 55.99, 'temp_max': 61, 'pressure': 1010, 'humidity': 93}",10000.0,"{'speed': 8.05, 'deg': 330}",{'all': 20},1603770468.0,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1603770623, 'sunset': 1603818583}",7200.0,3369157.0,Cape Town,200,,
1,"{'lon': -134.97, 'lat': -23.12}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 75.54, 'feels_like': 75.22, 'temp_min': 75.54, 'temp_max': 75.54, 'pressure': 1017, 'humidity': 86, 'sea_level': 1017, 'grnd_level': 1014}",10000.0,"{'speed': 15.08, 'deg': 352}",{'all': 100},1603770757.0,"{'country': 'PF', 'sunrise': 1603721868, 'sunset': 1603768170}",-32400.0,4030556.0,Rikitea,200,{'1h': 0.18},
2,"{'lon': 17.94, 'lat': -33.01}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 59, 'feels_like': 56.7, 'temp_min': 59, 'temp_max': 59, 'pressure': 1011, 'humidity': 87}",9975.0,"{'speed': 6.93, 'deg': 350}",{'all': 29},1603770758.0,"{'type': 1, 'id': 1943, 'country': 'ZA', 'sunrise': 1603770815, 'sunset': 1603818621}",7200.0,3361934.0,Saldanha,200,,
3,"{'lon': -5.72, 'lat': -15.94}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 61.03, 'feels_like': 54.09, 'temp_min': 61.03, 'temp_max': 61.03, 'pressure': 1013, 'humidity': 97, 'sea_level': 1013, 'grnd_level': 967}",10000.0,"{'speed': 18.25, 'deg': 127}",{'all': 97},1603770759.0,"{'country': 'SH', 'sunrise': 1603777680, 'sunset': 1603823112}",0.0,3370903.0,Jamestown,200,,
4,"{'lon': 81.77, 'lat': 51.95}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 50.34, 'feels_like': 31.46, 'temp_min': 50.34, 'temp_max': 50.34, 'pressure': 1008, 'humidity': 44, 'sea_level': 1008, 'grnd_level': 985}",10000.0,"{'speed': 26.51, 'deg': 196}",{'all': 76},1603770760.0,"{'country': 'RU', 'sunrise': 1603761523, 'sunset': 1603797276}",25200.0,1494331.0,Pospelikha,200,,
5,"{'lon': 96.37, 'lat': 61.67}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 18.75, 'feels_like': 10.45, 'temp_min': 18.75, 'temp_max': 18.75, 'pressure': 1026, 'humidity': 92, 'sea_level': 1026, 'grnd_level': 1006}",10000.0,"{'speed': 5.37, 'deg': 64}",{'all': 68},1603770762.0,"{'country': 'RU', 'sunrise': 1603759828, 'sunset': 1603791964}",25200.0,1510689.0,Baykit,200,,
6,"{'lon': -165.41, 'lat': 64.5}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 28.92, 'feels_like': 19.56, 'temp_min': 27, 'temp_max': 32, 'pressure': 1012, 'humidity': 94}",10000.0,"{'speed': 9.17, 'deg': 330}",{'all': 40},1603770763.0,"{'type': 1, 'id': 7770, 'country': 'US', 'sunrise': 1603736988, 'sunset': 1603767661}",-28800.0,5870133.0,Nome,200,,
7,,,,,,,,,,,,,404,,city not found
8,"{'lon': 115.33, 'lat': -33.65}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 68, 'feels_like': 61.81, 'temp_min': 68, 'temp_max': 68, 'pressure': 1012, 'humidity': 56}",10000.0,"{'speed': 11.99, 'deg': 300, 'gust': 21}",{'all': 82},1603770765.0,"{'type': 3, 'id': 2003721, 'country': 'AU', 'sunrise': 1603747405, 'sunset': 1603795286}",28800.0,2075265.0,Busselton,200,,
9,"{'lon': -175.2, 'lat': -21.2}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 77, 'feels_like': 79.27, 'temp_min': 77, 'temp_max': 77, 'pressure': 1012, 'humidity': 78}",10000.0,"{'speed': 9.17, 'deg': 110}",{'all': 40},1603770766.0,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1603818006, 'sunset': 1603864132}",46800.0,4032243.0,Vaini,200,,
